url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote,translated,Relevant,phaseout
https://x.com/PWEETERZONE/status/1912335256658813159,https://twitter.com/PWEETERZONE/status/1912335256658813159,1912335256658813159,"My kwentong jeepney:
I was in Diliman and sumakay ako ng jeep na pa-Quezon Av. Umupo ako sa tabi ni Manong Driver and nagkwentuhan pa kame. Sobrang bangag ko from work, bumaba ako ng jeep without giving my bayad. Wondering why may barya sa pocket ko which is intended for the fare",0,2,2,0,Wed Apr 16 02:40:29 +0000 2025,0,FALSE,TRUE,"My Story Jeepney:
I was in Diliman and I rode a jeep in Quezon av.I sat down next to the driver and we talked.I was so tired from work, I got off a jeep without giving my fee.Wondering why there is a coin in my pocket which is intended for the fare",FALSE,
https://x.com/reuveire/status/1909421245835436491,https://twitter.com/reuveire/status/1909421245835436491,1909421245835436491,@adrixnclxyton 10 lang? Kahit jeepney fare di kasya 😔,0,1,0,0,Tue Apr 08 01:41:14 +0000 2025,0,FALSE,FALSE,@adrixnclxyton 10 lang?Even jeepney fare is not 😔,FALSE,
https://x.com/mkule/status/1907975780015157357,https://twitter.com/mkule/status/1907975780015157357,1907975780015157357,"As a working student, Christopher Olimpio sees the LRT Line 1 fare hike as unfair, especially for those covering students' expenses. He points out that the increase feels unreasonable compared to the modest 1-2 peso rise in jeepney fares.

#NoToLRTFareHike https://t.co/4EfOuOg1oe",0,1,0,0,Fri Apr 04 01:57:29 +0000 2025,0,FALSE,FALSE,"As a working student, Christopher Olypio sees the LRT line 1 fare hike as unfair, especially for those covering students' expenses.He points out that the increase feels unreasonable compared to the modest 1-2 peso rise in jeepney fares.

#NotolrtFares https://t.co/4Efouog1oe",TRUE,FALSE
https://x.com/bworldph/status/1907410193564213249,https://twitter.com/bworldph/status/1907410193564213249,1907410193564213249,"THE TRANSPORTATION department should consider tapping local jeepney makers rather than importing public utility jeepneys under the government’s modernization plan to limit fare increases, a congressman said on Monday. 

https://t.co/mwXoJwuYv4 https://t.co/AjpzCW1SuW",1,0,1,0,Wed Apr 02 12:30:02 +0000 2025,0,FALSE,FALSE,"The transportation department should consider tapping local jeepney makers rather than importing public utility jeepneys under the government's modernization plan to limit fare increases, a congressman said on Monday.

https://t.co/mwxojwuyv4 https://t.co/ajpzcw1suw",TRUE,FALSE
https://x.com/kl_basilio/status/1907222184449523849,https://twitter.com/kl_basilio/status/1907222184449523849,1907222184449523849,"THE TRANSPORTATION department should consider tapping local jeepney makers rather than importing public utility jeepneys (PUJs) under the government’s modernization plan to limit fare increases, a congressman said on Monday. | @bworldph 

https://t.co/t3seRpQZSl",1,0,1,0,Wed Apr 02 00:02:57 +0000 2025,0,FALSE,FALSE,"The transportation department should consider tapping local jeepney makers rather than importing public utility jeepneys (PUJs) under the government's modernization plan to limit fare increases, a congressman said on Monday.|@bworldph

https://t.co/T3SerPQZSL",TRUE,FALSE
https://x.com/harolducke/status/1906735437038616720,https://twitter.com/harolducke/status/1906735437038616720,1906735437038616720,"She said, ""God bless you.""

A kind woman just paid my transportation fee (jeepney) today. She was really kind to do that. I'm grateful. 

I got a hundred but it's useless since kuya had no change for it. However, she insisted on paying my fare. May God bless her too.",0,0,0,0,Mon Mar 31 15:48:48 +0000 2025,0,FALSE,FALSE,"She said, ""God bless you.""

A kind woman just paid my transportation fee (jeepney) today.She was really kind to do that.I'm grateful.

I got a hundred but it's useless since Kuya had no change for it.However, she insisted on paying my fare.May God bless her too.",FALSE,
https://x.com/here2yappp/status/1901803244843893143,https://twitter.com/here2yappp/status/1901803244843893143,1901803244843893143,"SOMEONE PAID FOR MY JEEPNEY FARE, HINDI COMPLETE PERO YUNG KULANG KO!😭 OVER PRICED KASI SI MANONG, NAKAKAHIYAAAAAA",0,0,0,0,Tue Mar 18 01:10:02 +0000 2025,0,FALSE,FALSE,"Someone paid for my jeepney fare, not complete but I miss it!",FALSE,
https://x.com/smninews/status/1899804599135146123,https://twitter.com/smninews/status/1899804599135146123,1899804599135146123,"Naudlot ang huling pagdinig ng LTFRB sa hirit na P2 provisional fare increase ng ilang jeepney groups. Wala pa kasing naisusumiteng position paper ang mga ito na magpapaliwanag sa kanilang kahilingan.

https://t.co/baGBycTXcj",0,0,2,0,Wed Mar 12 12:48:07 +0000 2025,0,FALSE,FALSE,"The LTFRB's final hearing on the P2 provisional fare increase of several jeepney groups.They have not yet been a position paper that will explain their request.

https://t.co/bagbyCTXCJ",TRUE,
https://x.com/dzbb/status/1899639987483836532,https://twitter.com/dzbb/status/1899639987483836532,1899639987483836532,"Huling araw ng pagdinig sa fare petition ng iba't ibang jeepney groups, isasagawa ngayong araw ng Land Transportation Franchising and Regulatory Board (LTFRB). | via @allangatus https://t.co/eRoAOPNdFq",1,0,2,0,Wed Mar 12 01:54:01 +0000 2025,1,FALSE,FALSE,"Last day of hearing the fare petition of various jeepney groups, the Land Transportation Franchising and Regulatory Board (LTFRB) will be held today.|via @allangatus https://t.co/ReroAopndfq",TRUE,
https://x.com/itz_zayne_loml/status/1897043257483477499,https://twitter.com/itz_zayne_loml/status/1897043257483477499,1897043257483477499,ive been asked if im a student while paying for jeepney fare while wearing my company uniform 😅 like yeah there's a student discount but maybe i do look a bit young they think I'm a student,0,3,8,0,Tue Mar 04 21:55:32 +0000 2025,0,FALSE,FALSE,I've been asking if I'm a student while paying for jeepney fare while wearing my company uniform 😅 like yeah there's a student discount but maybe I do look a bit young they think I'm a student,FALSE,
