url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote,translated,Relevant,phaseout,sentiment,sentiment_score
https://x.com/mkule/status/1907975780015157357,https://twitter.com/mkule/status/1907975780015157357,1907975780015157357,"As a working student, Christopher Olimpio sees the LRT Line 1 fare hike as unfair, especially for those covering students' expenses. He points out that the increase feels unreasonable compared to the modest 1-2 peso rise in jeepney fares.

#NoToLRTFareHike https://t.co/4EfOuOg1oe",0,1,0,0,Fri Apr 04 01:57:29 +0000 2025,0,False,False,"As a working student, Christopher Olypio sees the LRT line 1 fare hike as unfair, especially for those covering students' expenses.He points out that the increase feels unreasonable compared to the modest 1-2 peso rise in jeepney fares.

#NotolrtFares https://t.co/4Efouog1oe",True,False,negative,-0.2023
https://x.com/bworldph/status/1907410193564213249,https://twitter.com/bworldph/status/1907410193564213249,1907410193564213249,"THE TRANSPORTATION department should consider tapping local jeepney makers rather than importing public utility jeepneys under the government’s modernization plan to limit fare increases, a congressman said on Monday. 

https://t.co/mwXoJwuYv4 https://t.co/AjpzCW1SuW",1,0,1,0,Wed Apr 02 12:30:02 +0000 2025,0,False,False,"The transportation department should consider tapping local jeepney makers rather than importing public utility jeepneys under the government's modernization plan to limit fare increases, a congressman said on Monday.

https://t.co/mwxojwuyv4 https://t.co/ajpzcw1suw",True,False,neutral,0.0
https://x.com/kl_basilio/status/1907222184449523849,https://twitter.com/kl_basilio/status/1907222184449523849,1907222184449523849,"THE TRANSPORTATION department should consider tapping local jeepney makers rather than importing public utility jeepneys (PUJs) under the government’s modernization plan to limit fare increases, a congressman said on Monday. | @bworldph 

https://t.co/t3seRpQZSl",1,0,1,0,Wed Apr 02 00:02:57 +0000 2025,0,False,False,"The transportation department should consider tapping local jeepney makers rather than importing public utility jeepneys (PUJs) under the government's modernization plan to limit fare increases, a congressman said on Monday.|@bworldph

https://t.co/T3SerPQZSL",True,False,neutral,0.0
https://x.com/macronikki/status/1911728663164264719,https://twitter.com/macronikki/status/1911728663164264719,1911728663164264719,"@News5PH Nagpaka-Fast too furious na naman tong mga jeepney drivers na to. At this point hindi modernization ng jeepney ang kailangan, driver’s ed dapat.",0,0,5,0,Mon Apr 14 10:30:06 +0000 2025,0,False,False,"@News5PH has been fast too furious again jeepney drivers.At this point not modernization of jeepney is needed, driver's ed should.",True,True,negative,-0.5719
https://x.com/wesomesauceman/status/1911719505576738940,https://twitter.com/wesomesauceman/status/1911719505576738940,1911719505576738940,"They run red lights. They travel at night with the headlights off. They drive as if they're in F1. 

Yes to jeepney modernization!",0,0,0,0,Mon Apr 14 09:53:42 +0000 2025,0,False,True,"They run red lights.They travel at night with the headlights off.They drive as if they're in F1.

Yes to jeepney modernization!",True,True,positive,0.4574
https://x.com/IDKWYGD/status/1911533107528057056,https://twitter.com/IDKWYGD/status/1911533107528057056,1911533107528057056,"@MMDA LOOK AT THE TIRES! KALBONG KALBO NA!. 

Eto yung mga taong TUTOL sa Jeepney modernization pero AYAW MAG MAINTENANCE ng sasakyan nila samantalang araw araw nila itong napapakinabangan. ilang tao pa ba ang dapat masawi?",0,0,2,0,Sun Apr 13 21:33:02 +0000 2025,0,False,False,"@MMDA look at the tires!Kalabong bald na!.

Here are the people who oppose jeepney modernization but do not want to maintain their car while they benefit every day.How many more people should be killed?",True,False,negative,-0.633
https://x.com/momshiedivine/status/1911436583208628431,https://twitter.com/momshiedivine/status/1911436583208628431,1911436583208628431,Yes to jeepney modernization please lang @risahontiveros,0,0,0,0,Sun Apr 13 15:09:28 +0000 2025,0,False,True,Yes to jeepney modernization please just @risahontiveros,True,True,positive,0.6124
https://x.com/little_b_o_y/status/1911392506014560343,https://twitter.com/little_b_o_y/status/1911392506014560343,1911392506014560343,No to Jeepney modernization sabi ng NPASalot and friends,0,0,0,0,Sun Apr 13 12:14:20 +0000 2025,0,False,True,No to jeepney modernization says npasalot and friends,True,False,positive,0.2263
https://x.com/ClownWorldClown/status/1911299985913585726,https://twitter.com/ClownWorldClown/status/1911299985913585726,1911299985913585726,"@MMDA This is why we need JEEPNEY MODERNIZATION!

Yung mga driver at operator nalang ba talaga ang may karapatang umangal?!

The public deserves a SAFE and CONVENIENT public transport! @DOTrPH @bongbongmarcos",0,0,4,0,Sun Apr 13 06:06:41 +0000 2025,0,False,False,"@MMDA this is why we need jeepney modernization!

Do drivers and operators really have the right to cry?!

The public deserves a safe and convenient public transport!@DOTRPH @bagbongmarcos",True,True,negative,-0.2677
https://x.com/Prokopio/status/1911299872424415261,https://twitter.com/Prokopio/status/1911299872424415261,1911299872424415261,"@MMDA This tragedy, speeding jeepney overturned claiming lives, exposes the real cost of outdated PUVs.

Asan na kaya ‘yong mga anti-phaseout advocates?

They called modernization ""anti-poor,"" pero what about the passengers who paid the ultimate price?

#JeepneyModernization",0,0,1,0,Sun Apr 13 06:06:14 +0000 2025,0,False,False,"@MMDA this tragedy, speeding jeepney overturned claiming lives, exposes the real cost of outdated PUVs.

Where are those anti-phaseout advocates?

They called modernization ""anti-poor,"" but what about the passengers who paid the ultimate price?

#JeepneyModernization",True,True,negative,-0.5122
